Algoritmo,i,N,Tiempo
Kruskal_1,5,32,0
Kruskal_2,5,32,0
Kruskal_3,5,32,1
Kruskal_4,5,32,0
Kruskal_1,5,32,0
Kruskal_2,5,32,0
Kruskal_3,5,32,0
Kruskal_4,5,32,0
Kruskal_1,5,32,0
Kruskal_2,5,32,0
Kruskal_3,5,32,0
Kruskal_4,5,32,0
Kruskal_1,5,32,0
Kruskal_2,5,32,0
Kruskal_3,5,32,0
Kruskal_4,5,32,0
Kruskal_1,5,32,0
Kruskal_2,5,32,0
Kruskal_3,5,32,0
Kruskal_4,5,32,0
Kruskal_1,6,64,0
Kruskal_2,6,64,0
Kruskal_3,6,64,1
Kruskal_4,6,64,0
Kruskal_1,6,64,0
Kruskal_2,6,64,0
Kruskal_3,6,64,1
Kruskal_4,6,64,0
Kruskal_1,6,64,1
Kruskal_2,6,64,0
Kruskal_3,6,64,1
Kruskal_4,6,64,1
Kruskal_1,6,64,1
Kruskal_2,6,64,1
Kruskal_3,6,64,1
Kruskal_4,6,64,1
Kruskal_1,6,64,1
Kruskal_2,6,64,0
Kruskal_3,6,64,1
Kruskal_4,6,64,0
Kruskal_1,7,128,2
Kruskal_2,7,128,1
Kruskal_3,7,128,4
Kruskal_4,7,128,1
Kruskal_1,7,128,2
Kruskal_2,7,128,1
Kruskal_3,7,128,2
Kruskal_4,7,128,1
Kruskal_1,7,128,3
Kruskal_2,7,128,1
Kruskal_3,7,128,2
Kruskal_4,7,128,1
Kruskal_1,7,128,2
Kruskal_2,7,128,1
Kruskal_3,7,128,3
Kruskal_4,7,128,0
Kruskal_1,7,128,2
Kruskal_2,7,128,1
Kruskal_3,7,128,4
Kruskal_4,7,128,1
Kruskal_1,8,256,10
Kruskal_2,8,256,0
Kruskal_3,8,256,11
Kruskal_4,8,256,9
Kruskal_1,8,256,25
Kruskal_2,8,256,9
Kruskal_3,8,256,18
Kruskal_4,8,256,9
Kruskal_1,8,256,22
Kruskal_2,8,256,8
Kruskal_3,8,256,18
Kruskal_4,8,256,4
Kruskal_1,8,256,30
Kruskal_2,8,256,4
Kruskal_3,8,256,50
Kruskal_4,8,256,4
Kruskal_1,8,256,35
Kruskal_2,8,256,8
Kruskal_3,8,256,24
Kruskal_4,8,256,9
Kruskal_1,9,512,103
Kruskal_2,9,512,15
Kruskal_3,9,512,58
Kruskal_4,9,512,29
Kruskal_1,9,512,79
Kruskal_2,9,512,18
Kruskal_3,9,512,81
Kruskal_4,9,512,18
Kruskal_1,9,512,79
Kruskal_2,9,512,14
Kruskal_3,9,512,155
Kruskal_4,9,512,16
Kruskal_1,9,512,51
Kruskal_2,9,512,17
Kruskal_3,9,512,64
Kruskal_4,9,512,21
Kruskal_1,9,512,63
Kruskal_2,9,512,4
Kruskal_3,9,512,64
Kruskal_4,9,512,17
Kruskal_1,10,1024,241
Kruskal_2,10,1024,66
Kruskal_3,10,1024,265
Kruskal_4,10,1024,49
Kruskal_1,10,1024,259
Kruskal_2,10,1024,73
Kruskal_3,10,1024,231
Kruskal_4,10,1024,66
Kruskal_1,10,1024,266
Kruskal_2,10,1024,47
Kruskal_3,10,1024,222
Kruskal_4,10,1024,51
Kruskal_1,10,1024,367
Kruskal_2,10,1024,59
Kruskal_3,10,1024,321
Kruskal_4,10,1024,74
Kruskal_1,10,1024,343
Kruskal_2,10,1024,87
Kruskal_3,10,1024,396
Kruskal_4,10,1024,91
Kruskal_1,11,2048,1695
Kruskal_2,11,2048,286
Kruskal_3,11,2048,1279
Kruskal_4,11,2048,250
Kruskal_1,11,2048,2390
Kruskal_2,11,2048,244
Kruskal_3,11,2048,1539
Kruskal_4,11,2048,264
Kruskal_1,11,2048,1661
Kruskal_2,11,2048,270
Kruskal_3,11,2048,1764
Kruskal_4,11,2048,265
Kruskal_1,11,2048,2172
Kruskal_2,11,2048,295
Kruskal_3,11,2048,1341
Kruskal_4,11,2048,231
Kruskal_1,11,2048,1181
Kruskal_2,11,2048,216
Kruskal_3,11,2048,1159
Kruskal_4,11,2048,211
Kruskal_1,12,4096,6196
Kruskal_2,12,4096,910
Kruskal_3,12,4096,6178
Kruskal_4,12,4096,887
Kruskal_1,12,4096,6156
Kruskal_2,12,4096,940
Kruskal_3,12,4096,6162
Kruskal_4,12,4096,915
Kruskal_1,12,4096,6202
Kruskal_2,12,4096,935
Kruskal_3,12,4096,6173
Kruskal_4,12,4096,933
Kruskal_1,12,4096,6052
Kruskal_2,12,4096,902
Kruskal_3,12,4096,6159
Kruskal_4,12,4096,903
Kruskal_1,12,4096,6229
Kruskal_2,12,4096,898
Kruskal_3,12,4096,6193
Kruskal_4,12,4096,942
